player_name,team,role_detailed,credits,points_2022,points_2023,points_2024,role_base,is_wk_bat,fp_year_weighted,fp_long_avg,fp_recent_avg,fp_std,fp_venue_avg,fp_opp_avg,fantasy_pred,P_stat,P_ml_filled,P_final,ValueEff,Cons_raw,selection_pct,P_norm,Form_norm,Cons_norm,Venue_norm,Opp_norm,ValueEff_norm,Own_norm,Risk_norm,RiskAdj,PopAdj,RecScore,C,VC
AD Russell,Kolkata Knight Riders,AR,9.19153031761309,852.0,461.0,759.0,AR,False,668.65,690.6666666666666,759.0,204.2604546487972,683.1,368.8,668.65,659.625,668.65,665.9425,72.45175471204188,3.3813038577285366,50.0,7.0198124946626645,6.644588765166827,1.614211882083952,6.644588765166829,3.8988141471477387,6.240883733302605,0.0,2.395626623628158,0.7186879870884474,0.0,5.533032505294875,True,False
RD Gaikwad,Chennai Super Kings,BAT,8.983638113570741,429.0,706.0,687.0,BAT,False,654.95,607.3333333333334,687.0,154.73310354715093,618.3000000000001,564.8000000000001,654.95,645.0150000000001,654.95,651.9695,72.57299233983287,3.9250381171552347,50.0,6.865602307581292,5.987980989297555,1.9936685216235708,5.987980989297557,6.117064739101637,6.251902035627556,0.0,1.7198684712776136,0.5159605413832841,0.0,5.4449276394455906,False,False
SP Narine,Kolkata Knight Riders,AR,10.0,0.0,0.0,1039.0,AR,False,519.5,346.3333333333333,1039.0,599.8669296880212,935.1,0.0,519.5,654.57,519.5,560.021,56.0021,0.5773502682271618,50.0,5.850831292992321,9.198063449102886,-0.3425873963339269,9.198063449102888,-0.2751185993451049,4.74590835263275,0.0,7.793337074198401,2.3380011222595205,0.0,5.286796816791894,False,False
Shubman Gill,Gujarat Titans,BAT,8.452358036573628,556.0,1051.0,503.0,BAT,False,702.75,703.3333333333334,503.0,302.2521022810815,452.7,840.8000000000001,702.75,626.595,702.75,679.9035,80.43950540879071,2.3269758115769457,50.0,7.173890246172223,4.3099833398538605,0.8784263941750575,4.309983339853861,9.240723735934676,6.966825453515509,0.0,3.732638462074267,1.11979153862228,0.0,5.127933025549648,False,False
SV Samson,Rajasthan Royals,BAT,8.839268527430221,563.0,445.0,637.0,BAT,False,558.7,548.3333333333334,637.0,96.83663218706717,573.3000000000001,356.0,558.7,557.0100000000001,558.7,558.1930000000001,63.14922985627179,5.662457639084513,50.0,5.8306569408857785,5.532003367166117,3.2061640777375824,5.532003367166118,3.7539488023670757,5.395452878923327,0.0,0.9299208636696239,0.27897625910088714,0.0,4.916867566904209,False,False
Tilak Varma,Mumbai Indians,BAT,8.440808469682388,458.0,425.0,499.0,BAT,False,466.95,460.6666666666667,499.0,37.072002014098636,449.1,340.0,466.95,457.09499999999997,466.95,463.9934999999999,54.97026755986315,12.426268591191937,50.0,4.79104322028377,4.273505130083346,7.926434926725635,4.273505130083347,3.5728671213912473,4.652133490972471,0.0,0.11448383416419632,0.034345150249258896,0.0,4.792768964807456,False,True
SM Curran,Punjab Kings,AR,9.038498556304138,0.0,572.0,706.0,AR,False,553.2,426.0,706.0,374.9613313396463,635.4,457.6,553.2,590.6400000000001,553.2,564.432,62.44753998509212,1.1361171493121378,50.0,5.899512401932131,6.161252485707502,0.047360081329327695,6.161252485707503,4.903817476563586,5.331681991288155,0.0,4.72469342149678,1.4174080264490339,0.0,4.741190412338362,False,False
AR Patel,Delhi Capitals,AR,8.585178055822906,374.0,619.0,549.0,AR,False,547.25,514.0,549.0,126.19429464123962,494.1,495.20000000000005,547.25,531.765,547.25,542.6045,63.20247483183857,4.073084265720388,50.0,5.658617614948757,4.729482752214784,2.0969857083878334,4.7294827522147855,5.329359426856783,5.400291881869598,0.0,1.3304809440310204,0.3991442832093061,0.0,4.532380335180753,False,False
Rashid Khan,Gujarat Titans,BOWL,8.094321462945139,597.0,849.0,379.0,BOWL,False,576.2,608.3333333333334,379.0,235.2048752329197,341.1,679.2,576.2,500.0400000000001,576.2,553.3520000000001,68.36298787158147,2.586397625238477,50.0,5.777230223955919,3.1791588369678925,1.059469482648221,3.179158836967893,7.41179875807881,5.8692889569506805,0.0,2.817836655345152,0.8453509966035456,0.0,4.117578015369287,False,False
YS Chahal,Rajasthan Royals,BOWL,8.299326275264677,680.0,525.0,450.0,BOWL,False,510.75,551.6666666666666,450.0,117.29592206608605,405.0,420.0,510.75,468.375,510.75,498.0375,60.00938913371217,4.70320410331611,50.0,5.16676293752404,3.8266470603945355,2.5367283803567253,3.826647060394536,4.478275526270389,5.110098282634137,0.0,1.2090702956405663,0.3627210886921699,0.0,4.082675640542981,False,False
CV Varun,Kolkata Knight Riders,BOWL,8.515880654475458,164.0,501.0,525.0,BOWL,False,462.45,396.6666666666667,525.0,201.85225620075028,472.5,400.8,462.45,470.805,462.45,464.9565,54.59875717676311,1.9651336683947287,50.0,4.801671174921956,4.510613493591694,0.6259070774034652,4.510613493591695,4.260977509099395,4.618369932641291,0.0,2.3627688249058765,0.7088306474717629,0.0,3.8238058090539635,False,False
