player_name,team,season,runs,balls_faced,outs,fours,sixes,strike_rate,balls_bowled,runs_conceded,wickets,overs,economy,is_batsman,is_bowler,is_allrounder,is_pure_batsman,is_pure_bowler,fantasy_points
NK Patel,Rajasthan Royals,2009,18.0,38.0,2.0,1.0,0.0,47.36842105263158,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,19.0
M Rawat,Rajasthan Royals,2009,16.0,19.0,0.0,1.0,0.0,84.21052631578948,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,17.0
PC Valthaty,Rajasthan Royals,2009,6.0,12.0,2.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,7.0
SD Chitnis,Rajasthan Royals,2009,6.0,8.0,1.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,7.0
JH Kallis,Royal Challengers Bangalore,2009,361.0,331.0,13.0,37.0,8.0,109.06344410876133,276.0,353.0,6.0,46.0,7.673913043478261,True,True,True,False,False,564.0
A Kumble,Royal Challengers Bangalore,2009,16.0,19.0,1.0,2.0,0.0,84.21052631578948,355.0,347.0,21.0,59.166666666666664,5.864788732394366,False,True,False,False,True,553.0
P Kumar,Royal Challengers Bangalore,2009,65.0,46.0,5.0,1.0,6.0,141.30434782608697,298.0,394.0,13.0,49.666666666666664,7.932885906040268,False,True,False,False,True,413.0
RE van der Merwe,Royal Challengers Bangalore,2009,122.0,98.0,8.0,8.0,8.0,124.48979591836735,204.0,248.0,9.0,34.0,7.294117647058823,False,True,False,False,True,371.0
LRPL Taylor,Royal Challengers Bangalore,2009,280.0,206.0,9.0,20.0,15.0,135.92233009708738,6.0,13.0,0.0,1.0,13.0,True,False,False,True,False,330.0
R Dravid,Royal Challengers Bangalore,2009,271.0,234.0,11.0,28.0,3.0,115.8119658119658,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,305.0
V Kohli,Royal Challengers Bangalore,2009,246.0,219.0,11.0,22.0,8.0,112.32876712328768,36.0,46.0,0.0,6.0,7.666666666666667,True,False,False,True,False,284.0
R Vinay Kumar,Royal Challengers Bangalore,2009,47.0,44.0,4.0,4.0,1.0,106.81818181818181,194.0,271.0,9.0,32.333333333333336,8.381443298969073,False,True,False,False,True,278.0
KP Pietersen,Royal Challengers Bangalore,2009,93.0,84.0,6.0,8.0,2.0,110.71428571428571,78.0,85.0,4.0,13.0,6.538461538461538,False,True,False,False,True,205.0
MK Pandey,Royal Challengers Bangalore,2009,168.0,117.0,2.0,17.0,4.0,143.5897435897436,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,203.0
RV Uthappa,Royal Challengers Bangalore,2009,175.0,170.0,11.0,18.0,3.0,102.94117647058823,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,199.0
MV Boucher,Royal Challengers Bangalore,2009,150.0,114.0,5.0,8.0,6.0,131.57894736842104,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,170.0
JD Ryder,Royal Challengers Bangalore,2009,56.0,48.0,5.0,9.0,0.0,116.66666666666667,102.0,115.0,3.0,17.0,6.764705882352941,False,True,False,False,True,140.0
B Akhil,Royal Challengers Bangalore,2009,17.0,15.0,2.0,1.0,1.0,113.33333333333333,66.0,80.0,4.0,11.0,7.2727272727272725,False,True,False,False,True,120.0
D du Preez,Royal Challengers Bangalore,2009,10.0,13.0,1.0,0.0,0.0,76.92307692307692,42.0,56.0,4.0,7.0,8.0,False,False,False,False,False,110.0
SP Goswami,Royal Challengers Bangalore,2009,53.0,60.0,2.0,6.0,0.0,88.33333333333333,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,59.0
Pankaj Singh,Royal Challengers Bangalore,2009,1.0,2.0,1.0,0.0,0.0,50.0,42.0,65.0,2.0,7.0,9.285714285714286,False,False,False,False,False,51.0
DW Steyn,Royal Challengers Bangalore,2009,0.0,3.0,1.0,0.0,0.0,0.0,54.0,62.0,2.0,9.0,6.888888888888889,False,False,False,False,False,50.0
KP Appanna,Royal Challengers Bangalore,2009,0.0,1.0,0.0,0.0,0.0,0.0,72.0,87.0,2.0,12.0,7.25,False,True,False,False,True,50.0
R Bishnoi,Royal Challengers Bangalore,2009,19.0,17.0,3.0,1.0,2.0,111.76470588235294,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,24.0
W Jaffer,Royal Challengers Bangalore,2009,15.0,17.0,2.0,2.0,0.0,88.23529411764706,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,17.0
